Year,Month,Word,Frequency
2012,11,michigan,7
2012,11,milliken,6
2012,11,stabenow,6
2012,11,senator,5
2012,11,peters,5
2012,11,grand,4
2012,11,new,4
2012,11,families,4
2012,11,part,4
2012,11,medicare,4
2009,11,care,74
2009,11,health,65
2009,11,bill,53
2009,11,new,51
2009,11,act,35
2009,11,small,33
2009,11,insurance,29
2009,11,reform,29
2009,11,credit,27
2009,11,senator,26
2012,07,health,25
2012,07,go,21
2012,07,updates,20
2012,07,care,13
2012,07,senate,13
2012,07,insurance,13
2012,07,visit,12
2012,07,work,12
2012,07,bill,12
2012,07,region,11
2011,10,senator,37
2011,10,leahy,19
2011,10,go,16
2011,10,updates,13
2011,10,senate,12
2011,10,act,11
2011,10,vermont,11
2011,10,receive,10
2011,10,help,9
2011,10,iraq,8
2013,09,senator,13
2013,09,weapons,12
2013,09,senate,12
2013,09,stabenow,10
2013,09,international,10
2013,09,suite,9
2013,09,chemical,9
2013,09,make,9
2013,09,colorado,9
2013,09,need,8
2011,06,veterans,21
2011,06,afghanistan,11
2011,06,memorial,11
2011,06,day,11
2011,06,hawaii,9
2011,06,american,9
2011,06,forces,9
2011,06,troops,7
2011,06,service,7
2011,06,go,6
2011,04,albuquerque,7
2011,04,women,6
2011,04,heinrich,6
2011,04,pay,6
2011,04,go,5
2011,04,martin,5
2011,04,new,5
2011,04,today,5
2011,04,equal,5
2011,04,congress,5
2015,06,minnesota,14
2015,06,rfs,6
2015,06,government,5
2015,06,cuba,4
2015,06,last,4
2015,06,americans,4
2015,06,national,4
2015,06,contest,4
2015,06,students,4
2015,06,trade,3
2013,12,new,21
2013,12,casey,10
2013,12,senate,10
2013,12,year,8
2013,12,mexico,8
2013,12,act,8
2013,12,veterans,7
2013,12,senator,7
2013,12,states,6
2013,12,economy,6
2014,05,veterans,12
2014,05,va,11
2014,05,care,7
2014,05,stabenow,5
2014,05,year,5
2014,05,need,5
2014,05,secretary,5
2014,05,may,4
2014,05,millions,4
2014,05,get,4
2011,01,senator,80
2011,01,leahy,58
2011,01,state,49
2011,01,vermont,48
2011,01,program,42
2011,01,health,32
2011,01,new,30
2011,01,bill,26
2011,01,work,26
2011,01,union,25
2015,04,schatz,31
2015,04,senator,28
2015,04,school,15
2015,04,hawaii,13
2015,04,trade,11
2015,04,program,10
2015,04,seniors,10
2015,04,medicare,9
2015,04,high,9
2015,04,environmental,9
2013,11,senate,15
2013,11,military,13
2013,11,senator,12
2013,11,sexual,10
2013,11,assault,10
2013,11,change,8
2013,11,congress,8
2013,11,act,7
2013,11,work,6
2013,11,states,6
2012,06,go,15
2012,06,updates,12
2012,06,visit,7
2012,06,senate,7
2012,06,missouri,7
2012,06,send,6
2012,06,receive,6
2012,06,district,6
2012,06,senator,6
2012,06,website,6
2010,05,health,34
2010,05,senator,24
2010,05,cidimagejpgccbcacf,24
2010,05,care,23
2010,05,leahy,19
2010,05,law,18
2010,05,new,17
2010,05,insurance,17
2010,05,oil,16
2010,05,legislation,16
2011,08,senator,22
2011,08,stabenow,19
2011,08,michigan,12
2011,08,agreement,10
2011,08,agriculture,9
2011,08,read,8
2011,08,default,8
2011,08,states,7
2011,08,economy,7
2011,08,jobs,7
2011,02,transportation,26
2011,02,go,20
2011,02,updates,20
2011,02,senator,19
2011,02,judge,19
2011,02,epa,17
2011,02,senate,17
2011,02,work,15
2011,02,visit,14
2011,02,website,14
2015,01,food,24
2015,01,tax,18
2015,01,congress,18
2015,01,mental,15
2015,01,safety,14
2015,01,system,14
2015,01,act,14
2015,01,new,12
2015,01,health,11
2015,01,work,10
2010,03,health,120
2010,03,care,94
2010,03,bill,58
2010,03,insurance,55
2010,03,coverage,43
2010,03,reform,37
2010,03,new,36
2010,03,law,35
2010,03,legislation,32
2010,03,tax,31
2014,03,casey,22
2014,03,bill,21
2014,03,new,17
2014,03,senator,17
2014,03,said,16
2014,03,senate,16
2014,03,law,15
2014,03,report,15
2014,03,act,15
2014,03,farm,12
2010,04,new,66
2010,04,health,57
2010,04,senator,42
2010,04,care,37
2010,04,legislation,32
2010,04,jobs,32
2010,04,act,32
2010,04,small,31
2010,04,help,31
2010,04,gillibrand,28
2010,11,cidimagejpgccbcacf,22
2010,11,jobs,14
2010,11,act,12
2010,11,business,12
2010,11,massachusetts,12
2010,11,new,11
2010,11,recovery,11
2010,11,help,11
2010,11,voter,10
2010,11,bill,9
2015,02,cuba,11
2015,02,class,8
2015,02,middle,8
2015,02,americans,6
2015,02,cuban,6
2015,02,families,6
2015,02,illinois,6
2015,02,congress,6
2015,02,work,5
2015,02,mission,5
2015,05,senator,23
2015,05,monument,15
2015,05,energy,14
2015,05,schatz,11
2015,05,hawaii,10
2015,05,new,10
2015,05,national,10
2015,05,nh,10
2015,05,las,9
2015,05,senate,9
2014,08,jeff,15
2014,08,jobs,8
2014,08,families,8
2014,08,bill,8
2014,08,america,7
2014,08,know,7
2014,08,children,6
2014,08,suite,6
2014,08,never,6
2014,08,republicans,6
2010,09,cidimagejpgccbcacf,22
2010,09,small,19
2010,09,new,19
2010,09,health,18
2010,09,care,16
2010,09,businesses,15
2010,09,law,14
2010,09,tax,13
2010,09,americans,12
2010,09,contact,11
2012,01,senator,32
2012,01,stabenow,30
2012,01,michigan,21
2012,01,go,20
2012,01,updates,16
2012,01,state,13
2012,01,work,12
2012,01,economy,12
2012,01,america,12
2012,01,energy,11
2014,04,medicaid,14
2014,04,said,12
2014,04,health,11
2014,04,state,8
2014,04,dollars,8
2014,04,nelson,8
2014,04,federal,7
2014,04,florida,7
2014,04,public,6
2014,04,pipeline,6
2009,09,health,25
2009,09,school,22
2009,09,education,22
2009,09,care,17
2009,09,know,17
2009,09,new,15
2009,09,dont,15
2009,09,need,15
2009,09,make,15
2009,09,every,14
2011,03,spending,27
2011,03,senator,26
2011,03,budget,23
2011,03,cidimagejpgccbcacf,22
2011,03,senate,17
2011,03,veterans,16
2011,03,tax,14
2011,03,shaheen,14
2011,03,government,13
2011,03,new,12
2010,12,tax,52
2010,12,senate,43
2010,12,bill,39
2010,12,senator,33
2010,12,act,31
2010,12,cuts,29
2010,12,food,28
2010,12,school,25
2010,12,law,25
2010,12,year,25
2011,05,nelson,16
2011,05,go,12
2011,05,senator,11
2011,05,bin,11
2011,05,ben,10
2011,05,read,10
2011,05,laden,9
2011,05,updates,8
2011,05,visit,8
2011,05,energy,8
2011,12,law,14
2011,12,veterans,13
2011,12,colorado,12
2011,12,help,10
2011,12,care,10
2011,12,suite,9
2011,12,region,9
2011,12,families,9
2011,12,act,9
2011,12,years,8
2010,08,wisconsin,12
2010,08,senate,11
2010,08,work,9
2010,08,suite,8
2010,08,assistance,7
2010,08,colorado,7
2010,08,jobs,7
2010,08,new,6
2010,08,states,6
2010,08,buses,5
2014,09,congress,5
2014,09,mission,3
2014,09,military,3
2014,09,support,3
2014,09,isil,3
2014,09,tonight,3
2014,09,nation,2
2014,09,address,2
2014,09,american,2
2014,09,lay,2
2010,02,small,41
2010,02,new,38
2010,02,senator,36
2010,02,help,34
2010,02,jobs,29
2010,02,businesses,27
2010,02,cidimagejpgccbcacf,22
2010,02,credit,19
2010,02,business,19
2010,02,economy,18
2009,12,health,24
2009,12,bill,21
2009,12,insurance,20
2009,12,visit,17
2009,12,families,16
2009,12,updates,15
2009,12,act,15
2009,12,small,13
2009,12,reform,13
2009,12,tax,12
