Year,Month,Word,Frequency
2012,08,job,31
2012,08,year,30
2012,08,people,29
2012,08,district,29
2012,08,health,29
2015,01,legislation,122
2015,01,act,105
2015,01,congress,103
2015,01,work,75
2015,01,new,69
2015,01,bill,64
2015,01,time,63
2015,01,senate,61
2015,01,pipeline,61
2015,01,american,60
2009,11,health,53
2009,11,care,46
2009,11,collins,26
2009,11,government,24
2009,11,bill,23
2009,11,senator,22
2009,11,military,17
2009,11,pay,15
2009,11,women,15
2009,11,new,14
2012,07,tax,57
2012,07,care,51
2012,07,law,50
2012,07,health,48
2012,07,bill,46
2012,07,federal,44
2012,07,act,44
2012,07,american,37
2012,07,repeal,37
2012,07,obamacare,36
2011,10,jobs,63
2011,10,job,47
2011,10,american,42
2011,10,act,40
2011,10,agreements,37
2011,10,government,36
2011,10,trade,34
2011,10,regulations,34
2011,10,congress,31
2011,10,rules,28
2013,09,obamacare,154
2013,09,syria,136
2013,09,military,126
2013,09,government,102
2013,09,people,85
2013,09,bill,83
2013,09,health,81
2013,09,congress,80
2013,09,care,76
2013,09,american,76
2011,06,debt,69
2011,06,spending,54
2011,06,government,51
2011,06,congress,45
2011,06,jobs,42
2011,06,said,39
2011,06,job,38
2011,06,plan,37
2011,06,collins,37
2011,06,senator,35
2011,04,government,58
2011,04,spending,55
2011,04,budget,41
2011,04,energy,32
2011,04,time,26
2011,04,year,24
2011,04,federal,23
2011,04,debt,22
2011,04,gas,22
2011,04,senate,22
2015,06,trade,86
2015,06,tpa,64
2015,06,congress,54
2015,06,bill,34
2015,06,act,34
2015,06,medical,30
2015,06,senator,30
2015,06,collins,30
2015,06,tax,30
2015,06,american,29
2013,12,obamacare,51
2013,12,budget,48
2013,12,bill,47
2013,12,health,42
2013,12,act,40
2013,12,congress,37
2013,12,military,33
2013,12,collins,33
2013,12,care,31
2013,12,research,31
2014,05,veterans,84
2014,05,legislation,63
2014,05,va,62
2014,05,act,51
2014,05,bill,45
2014,05,military,44
2014,05,care,44
2014,05,district,44
2014,05,also,44
2014,05,national,43
2011,01,health,53
2011,01,care,49
2011,01,congress,39
2011,01,miller,30
2011,01,repeal,23
2011,01,american,22
2011,01,obamacare,21
2011,01,state,21
2011,01,work,19
2011,01,law,19
2015,04,district,29
2015,04,act,25
2015,04,iran,19
2015,04,tax,19
2015,04,open,17
2015,04,federal,16
2015,04,last,16
2015,04,work,14
2015,04,congressional,14
2015,04,school,13
2013,11,health,131
2013,11,obamacare,90
2013,11,care,86
2013,11,american,59
2013,11,keep,58
2013,11,veterans,57
2013,11,americans,57
2013,11,act,57
2013,11,energy,57
2013,11,law,56
2012,06,law,70
2012,06,health,68
2012,06,care,63
2012,06,congress,50
2012,06,act,44
2012,06,obamacare,43
2012,06,tax,42
2012,06,supreme,38
2012,06,district,37
2012,06,jobs,37
2010,05,said,39
2010,05,capito,34
2010,05,coal,26
2010,05,west,25
2010,05,mothers,21
2010,05,epa,20
2010,05,virginia,20
2010,05,mining,19
2010,05,day,18
2010,05,jackson,16
2011,08,spending,45
2011,08,budget,34
2011,08,federal,34
2011,08,congress,30
2011,08,government,30
2011,08,debt,27
2011,08,time,27
2011,08,cuts,24
2011,08,jobs,23
2011,08,passed,22
2011,02,spending,89
2011,02,budget,73
2011,02,government,66
2011,02,congress,48
2011,02,health,47
2011,02,people,38
2011,02,debt,34
2011,02,year,31
2011,02,care,31
2011,02,american,30
2013,07,bill,150
2013,07,senate,93
2013,07,act,92
2013,07,obamacare,89
2013,07,law,82
2013,07,federal,80
2013,07,collins,78
2013,07,border,76
2013,07,government,75
2013,07,legislation,70
2010,03,health,79
2010,03,kansas,76
2010,03,care,68
2010,03,bill,53
2010,03,stopped,40
2010,03,reform,26
2010,03,issues,24
2010,03,government,22
2010,03,discuss,21
2010,03,topeka,21
2014,03,law,76
2014,03,act,74
2014,03,district,64
2014,03,energy,60
2014,03,legislation,57
2014,03,obamacare,56
2014,03,congress,53
2014,03,americans,49
2014,03,health,47
2014,03,budget,46
2010,04,budget,16
2010,04,congress,15
2010,04,reform,14
2010,04,bill,13
2010,04,insurance,12
2010,04,program,11
2010,04,education,11
2010,04,kansas,11
2010,04,miller,10
2010,04,illegal,10
2010,11,congress,23
2010,11,tax,17
2010,11,said,14
2010,11,duck,13
2010,11,lame,13
2010,11,capito,11
2010,11,government,11
2010,11,republicans,9
2010,11,members,8
2010,11,legislation,8
2015,02,legislation,63
2015,02,act,51
2015,02,district,41
2015,02,health,38
