Year,Month,Word,Frequency
2015,01,congress,186
2015,01,new,120
2015,01,act,105
2015,01,bill,94
2015,01,work,87
2015,01,legislation,86
2015,01,year,83
2015,01,funding,81
2015,01,years,76
2015,01,federal,76
2009,11,health,156
2009,11,care,139
2009,11,bill,105
2009,11,act,78
2009,11,reform,65
2009,11,veterans,64
2009,11,insurance,61
2009,11,new,56
2009,11,information,56
2009,11,legislation,52
2012,07,july,69
2012,07,health,52
2012,07,care,41
2012,07,bill,39
2012,07,pm,38
2012,07,new,37
2012,07,district,31
2012,07,act,29
2012,07,insurance,27
2012,07,rep,26
2011,10,medicare,69
2011,10,federal,52
2011,10,new,51
2011,10,district,49
2011,10,rep,49
2011,10,jobs,47
2011,10,schiff,47
2011,10,congress,46
2011,10,help,46
2011,10,act,45
2013,09,congress,95
2013,09,syria,86
2013,09,district,79
2013,09,government,79
2013,09,military,70
2013,09,health,66
2013,09,weapons,60
2013,09,people,56
2013,09,work,55
2013,09,care,55
2011,06,debt,55
2011,06,afghanistan,55
2011,06,district,55
2011,06,act,55
2011,06,rep,55
2011,06,federal,45
2011,06,new,42
2011,06,congress,42
2011,06,schiff,42
2011,06,community,42
2011,04,budget,142
2011,04,health,93
2011,04,government,82
2011,04,federal,80
2011,04,shutdown,65
2011,04,memphis,62
2011,04,bill,61
2011,04,also,61
2011,04,medicare,61
2011,04,rep,60
2015,06,congress,37
2015,06,trade,37
2015,06,bill,35
2015,06,world,35
2015,06,war,34
2015,06,minnesota,26
2015,06,last,26
2015,06,also,24
2015,06,law,23
2015,06,work,23
2013,12,health,74
2013,12,new,68
2013,12,year,64
2013,12,congress,57
2013,12,insurance,51
2013,12,schiff,50
2013,12,act,49
2013,12,bill,49
2013,12,coverage,46
2013,12,help,38
2014,05,veterans,112
2014,05,congressman,76
2014,05,help,73
2014,05,health,71
2014,05,serrano,68
2014,05,memphis,68
2014,05,congress,67
2014,05,bill,66
2014,05,district,63
2014,05,work,60
2011,01,health,134
2011,01,care,113
2011,01,congress,102
2011,01,new,94
2011,01,state,84
2011,01,congressman,83
2011,01,work,79
2011,01,act,76
2011,01,senator,73
2011,01,district,65
2015,04,trade,52
2015,04,school,50
2015,04,new,50
2015,04,april,48
2015,04,years,46
2015,04,work,45
2015,04,duluth,44
2015,04,congress,43
2015,04,jobs,42
2015,04,congressman,42
2013,11,veterans,101
2013,11,health,97
2013,11,insurance,76
2013,11,care,61
2013,11,district,60
2013,11,act,53
2013,11,work,52
2013,11,also,50
2013,11,marketplace,50
2013,11,people,49
2012,06,health,105
2012,06,care,79
2012,06,district,78
2012,06,act,74
2012,06,veterans,70
2012,06,program,62
2012,06,june,60
2012,06,memphis,55
2012,06,congress,51
2012,06,new,50
2010,05,health,113
2010,05,act,82
2010,05,new,79
2010,05,congress,71
2010,05,may,69
2010,05,care,67
2010,05,congressman,61
2010,05,previews,54
2010,05,disabled,54
2010,05,federal,51
2011,08,jobs,69
2011,08,bill,64
2011,08,act,56
2011,08,federal,50
2011,08,work,45
2011,08,debt,39
2011,08,congress,39
2011,08,budget,37
2011,08,new,35
2011,08,economy,35
2011,02,budget,89
2011,02,cuts,82
2011,02,new,74
2011,02,spending,66
2011,02,year,63
2011,02,business,63
2011,02,government,59
2011,02,federal,55
2011,02,district,52
2011,02,tax,52
2013,07,act,56
2013,07,district,52
2013,07,americans,48
2013,07,bill,45
2013,07,congress,44
2013,07,information,38
2013,07,legislation,37
2013,07,rights,36
2013,07,trayvon,36
2013,07,court,36
2010,03,health,215
2010,03,care,165
2010,03,bill,142
2010,03,reform,108
2010,03,insurance,78
2010,03,district,75
2010,03,act,74
2010,03,legislation,72
2010,03,congress,60
2010,03,senate,59
2014,03,act,79
2014,03,new,70
2014,03,bill,70
2014,03,congress,57
2014,03,work,55
2014,03,insurance,55
2014,03,year,51
2014,03,district,49
2014,03,federal,49
2014,03,legislation,42
2010,04,tax,117
2010,04,health,102
2010,04,act,95
2010,04,new,71
2010,04,care,71
2010,04,million,67
2010,04,district,65
2010,04,federal,65
2010,04,bill,60
2010,04,april,60
2010,11,schiff,39
2010,11,new,27
2010,11,district,23
2010,11,cidimagejpgccbcacf,22
2010,11,center,22
2010,11,act,20
2010,11,care,19
2010,11,help,19
2010,11,jobs,18
2010,11,health,18
2015,02,congress,138
2015,02,congressman,88
2015,02,new,87
2015,02,space,78
2015,02,help,73
2015,02,serrano,73
2015,02,legislation,63
2015,02,district,62
2015,02,also,62
2015,02,work,57
2015,05,trade,81
2015,05,congress,66
2015,05,bill,51
2015,05,veterans,50
2015,05,national,50
2015,05,american,44
2015,05,work,41
2015,05,may,41
2015,05,new,39
2015,05,jobs,39
2014,08,new,62
2014,08,act,60
2014,08,congress,58
2014,08,memphis,57
2014,08,veterans,53
2014,08,bill,52
2014,08,people,48
2014,08,also,46
2014,08,care,44
2014,08,work,42
2010,09,small,138
2010,09,new,123
2010,09,health,86
2010,09,business,86
2010,09,act,83
2010,09,businesses,81
2010,09,bill,74
2010,09,care,73
2010,09,tax,72
2010,09,federal,53
2012,01,jobs,72
2012,01,district,58
2012,01,congress,48
2012,01,american,44
2012,01,help,41
2012,01,tax,40
2012,01,new,39
2012,01,economy,36
2012,01,state,34
2012,01,year,33
2014,04,budget,107
2014,04,congress,63
2014,04,health,56
2014,04,memphis,56
2014,04,district,50
2014,04,care,49
2014,04,act,49
2014,04,help,47
2014,04,also,47
2014,04,work,43
2009,08,rural,23
2009,08,health,8
2009,08,caucus,8
2009,08,care,7
2009,08,district,7
2009,08,reform,7
2009,08,country,7
2009,08,month,6
2009,08,africa,6
2009,08,also,6
2009,09,health,193
2009,09,care,137
2009,09,reform,85
2009,09,also,69
2009,09,act,65
2009,09,federal,60
2009,09,congress,60
2009,09,memphis,60
2009,09,insurance,56
2009,09,district,53
2011,03,health,141
2011,03,care,126
2011,03,congress,110
2011,03,budget,93
2011,03,law,87
2011,03,year,87
2011,03,federal,87
2011,03,act,87
2011,03,spending,82
2011,03,march,80
2010,12,tax,248
2010,12,bill,102
2010,12,act,84
2010,12,cuts,77
2010,12,senate,73
2010,12,law,72
2010,12,congress,71
2010,12,district,62
2010,12,families,59
2010,12,jobs,56
2011,05,district,75
2011,05,act,65
2011,05,may,56
2011,05,help,56
2011,05,bin,54
2011,05,federal,52
2011,05,new,51
2011,05,health,51
2011,05,memphis,51
2011,05,congress,49
2011,12,tax,65
2011,12,act,64
2011,12,district,50
2011,12,year,49
2011,12,bill,47
2011,12,congress,40
2011,12,previews,39
2011,12,disabled,39
2011,12,service,39
2011,12,cut,37
2010,08,act,93
2010,08,security,90
2010,08,new,87
2010,08,congress,75
2010,08,jobs,72
2010,08,small,71
2010,08,district,66
2010,08,law,64
2010,08,border,63
2010,08,businesses,58
2014,09,congress,85
2014,09,american,61
2014,09,act,51
2014,09,syrian,48
2014,09,people,47
2014,09,district,47
2014,09,support,46
2014,09,isil,46
2014,09,isis,43
2014,09,rebels,43
2010,02,health,90
2010,02,jobs,76
2010,02,district,70
2010,02,help,65
2010,02,congress,63
2010,02,small,60
2010,02,care,57
2010,02,bill,57
2010,02,memphis,56
2010,02,act,55
2009,12,jobs,76
2009,12,health,73
2009,12,act,66
2009,12,bill,65
2009,12,tax,57
2009,12,district,56
2009,12,program,55
2009,12,year,53
2009,12,also,50
2009,12,street,48
