Year,Month,Word,Frequency
2012,08,plan,50
2015,01,congress,154
2015,01,legislation,144
2015,01,act,123
2015,01,work,122
2015,01,new,108
2015,01,bill,100
2015,01,state,85
2015,01,american,84
2015,01,time,79
2015,01,veterans,79
2009,11,health,125
2009,11,care,118
2009,11,new,55
2009,11,bill,48
2009,11,senator,47
2009,11,legislation,42
2009,11,reform,35
2009,11,senate,32
2009,11,unemployment,27
2009,11,insurance,27
2012,07,care,97
2012,07,tax,93
2012,07,health,87
2012,07,congress,74
2012,07,act,73
2012,07,bill,69
2012,07,law,68
2012,07,federal,66
2012,07,american,64
2012,07,families,60
2011,10,jobs,134
2011,10,american,100
2011,10,act,84
2011,10,job,74
2011,10,congress,67
2011,10,new,62
2011,10,bill,55
2011,10,make,53
2011,10,help,53
2011,10,businesses,51
2013,09,obamacare,170
2013,09,syria,165
2013,09,military,148
2013,09,health,121
2013,09,government,119
2013,09,congress,107
2013,09,people,96
2013,09,care,92
2013,09,bill,92
2013,09,district,87
2011,06,debt,77
2011,06,congress,64
2011,06,government,55
2011,06,spending,54
2011,06,jobs,47
2011,06,updates,43
2011,06,plan,42
2011,06,said,41
2011,06,district,41
2011,06,american,40
2011,04,government,96
2011,04,budget,88
2011,04,spending,67
2011,04,congress,53
2011,04,shutdown,51
2011,04,time,38
2011,04,energy,36
2011,04,plan,36
2011,04,republicans,34
2011,04,federal,34
2015,06,trade,93
2015,06,tpa,64
2015,06,congress,58
2015,06,bill,42
2015,06,act,38
2015,06,american,36
2015,06,district,33
2015,06,work,32
2015,06,medical,32
2015,06,health,31
2013,12,act,55
2013,12,bill,53
2013,12,obamacare,51
2013,12,budget,49
2013,12,new,46
2013,12,congress,43
2013,12,health,42
2013,12,military,33
2013,12,collins,33
2013,12,national,33
2014,05,veterans,117
2014,05,va,81
2014,05,national,74
2014,05,act,71
2014,05,legislation,70
2014,05,also,65
2014,05,women,65
2014,05,care,63
2014,05,new,61
2014,05,district,61
2011,01,health,98
2011,01,care,85
2011,01,congress,61
2011,01,law,39
2011,01,repeal,38
2011,01,act,33
2011,01,new,32
2011,01,bill,32
2011,01,work,31
2011,01,state,31
2015,04,district,42
2015,04,act,34
2015,04,federal,28
2015,04,congress,28
2015,04,iran,28
2015,04,work,27
2015,04,last,25
2015,04,nuclear,24
2015,04,bill,23
2015,04,new,23
2013,11,health,191
2013,11,care,142
2013,11,veterans,133
2013,11,obamacare,108
2013,11,american,96
2013,11,act,95
2013,11,bill,95
2013,11,americans,93
2013,11,insurance,85
2013,11,law,83
2012,06,health,113
2012,06,act,104
2012,06,care,101
2012,06,law,91
2012,06,congress,79
2012,06,district,70
2012,06,work,65
2012,06,american,59
2012,06,bill,59
2012,06,court,56
2010,05,new,45
2010,05,said,40
2010,05,capito,34
2010,05,health,30
2010,05,coal,26
2010,05,west,25
2010,05,care,23
2010,05,day,23
2010,05,legislation,22
2010,05,help,22
2011,08,spending,52
2011,08,jobs,48
2011,08,congress,41
2011,08,budget,40
2011,08,debt,39
2011,08,federal,39
2011,08,new,33
2011,08,time,33
2011,08,government,32
2011,08,bill,30
2011,02,spending,98
2011,02,budget,81
2011,02,government,69
2011,02,congress,66
2011,02,health,59
2011,02,people,50
2011,02,new,45
2011,02,year,44
2011,02,federal,42
2011,02,updates,40
2013,07,bill,167
2013,07,act,125
2013,07,obamacare,105
2013,07,senate,100
2013,07,federal,96
2013,07,law,95
2013,07,government,92
2013,07,congress,86
2013,07,health,84
2013,07,businesses,82
2010,03,health,220
2010,03,care,163
2010,03,bill,90
2010,03,insurance,88
2010,03,kansas,76
2010,03,reform,71
2010,03,coverage,55
2010,03,new,54
2010,03,tax,45
2010,03,stopped,40
2014,03,act,94
2014,03,law,88
2014,03,district,86
2014,03,americans,64
2014,03,health,64
2014,03,congress,62
2014,03,legislation,60
2014,03,energy,60
2014,03,new,56
2014,03,obamacare,56
2010,04,new,66
2010,04,federal,37
2010,04,act,37
2010,04,year,36
2010,04,senator,33
2010,04,work,31
2010,04,jobs,31
2010,04,legislation,29
2010,04,street,28
2010,04,gillibrand,28
2010,11,congress,24
2010,11,tax,17
2010,11,said,14
2010,11,duck,13
2010,11,lame,13
2010,11,republicans,11
2010,11,government,11
2010,11,capito,11
2010,11,legislation,10
2010,11,people,10
2015,02,health,73
2015,02,legislation,69
2015,02,act,65
2015,02,tax,63
2015,02,district,55
2015,02,federal,53
2015,02,congress,50
2015,02,bill,49
2015,02,care,47
2015,02,new,43
2015,05,bill,66
2015,05,act,55
2015,05,district,48
2015,05,legislation,41
2015,05,national,41
2015,05,congress,38
2015,05,last,38
2015,05,federal,37
2015,05,senate,37
2015,05,american,35
2014,08,veterans,75
2014,08,care,70
2014,08,border,62
2014,08,legislation,57
2014,08,bill,56
2014,08,va,54
2014,08,children,53
2014,08,also,46
2014,08,congress,43
2014,08,new,38
2010,09,jobs,57
2010,09,new,56
2010,09,small,47
2010,09,congresswoman,45
2010,09,government,45
2010,09,tax,44
2010,09,federal,39
2010,09,businesses,36
2010,09,congress,34
2010,09,american,34
2012,01,jobs,100
2012,01,congress,80
2012,01,state,79
2012,01,american,73
2012,01,work,68
2012,01,new,61
2012,01,district,56
2012,01,energy,56
2012,01,union,54
2012,01,economy,54
2014,04,work,91
2014,04,act,85
2014,04,budget,84
2014,04,health,71
2014,04,hours,69
2014,04,new,68
2014,04,american,62
2014,04,district,61
2014,04,women,60
2014,04,jobs,59
2009,08,senator,13
2009,08,collins,12
2009,08,afghanistan,10
2009,08,new,10
2009,08,iraq,9
2009,08,general,8
2009,08,read,7
2009,08,congress,7
2009,08,american,6
2009,08,congresswoman,6
2009,09,health,150
2009,09,care,93
2009,09,reform,72
2009,09,insurance,61
2009,09,people,54
2009,09,congress,51
2009,09,hn,51
2009,09,bill,46
2009,09,plan,45
2009,09,district,41
2011,03,government,67
2011,03,congress,66
2011,03,spending,61
2011,03,federal,52
2011,03,american,49
2011,03,budget,48
2011,03,border,44
2011,03,support,39
2011,03,national,39
2011,03,bill,38
2010,12,tax,99
2010,12,congress,90
2010,12,bill,82
2010,12,act,77
2010,12,dont,58
2010,12,senate,55
2010,12,law,53
2010,12,cuts,51
2010,12,food,49
2010,12,health,47
2011,05,energy,110
2011,05,collins,96
