Sender,Total,align_raw,align_pct,bash_raw,bash_pct
Eric Massa,6,5,0.8333,0,0.0
John Tierney,61,61,1.0,0,0.0
F. Sensenbrenner,107,69,0.6449,20,0.1869
Alan Nunnelee,164,108,0.6585,16,0.0976
Bob Gibbs,23,22,0.9565,1,0.0435
Bill Huizenga,95,95,1.0,0,0.0
Sherrod Brown,29,29,1.0,0,0.0
Lee Zeldin,10,10,1.0,0,0.0
Phil Gingrey,199,115,0.5779,40,0.201
Louie Gohmert,173,155,0.896,4,0.0231
Gloria Negrete McLeod,29,29,1.0,0,0.0
Steven Horsford,4,4,1.0,0,0.0
Patrick Tiberi,27,19,0.7037,6,0.2222
James Renacci,188,165,0.8777,7,0.0372
Charles Fleischmann,37,20,0.5405,5,0.1351
Evan Bayh,10,10,1.0,0,0.0
Jerry Costello,13,12,0.9231,0,0.0
Kevin McCarthy,53,48,0.9057,0,0.0
Richard Nolan,125,96,0.768,10,0.08
Sam Farr,35,32,0.9143,0,0.0
Roger Wicker,293,156,0.5324,61,0.2082
Bruce Westerman,10,10,1.0,0,0.0
Geoff Davis,149,105,0.7047,18,0.1208
Robert Pittenger,47,24,0.5106,8,0.1702
Ron Klein,37,34,0.9189,2,0.0541
Lynn Jenkins,320,205,0.6406,45,0.1406
Suzanne Kosmas,9,9,1.0,0,0.0
Eric Swalwell,55,54,0.9818,0,0.0
Barbara Lee,81,73,0.9012,3,0.037
George LeMieux,22,21,0.9545,0,0.0
Ander Crenshaw,84,63,0.75,7,0.0833
Roy Blunt,83,55,0.6627,9,0.1084
Andy Harris,158,126,0.7975,6,0.038
Edward Royce,120,91,0.7583,12,0.1
Lois Frankel,15,15,1.0,0,0.0
Markwayne Mullin,125,104,0.832,9,0.072
Timothy Walz,33,28,0.8485,0,0.0
Arlen Specter,10,7,0.7,0,0.0
Frank Wolf,71,64,0.9014,0,0.0
Thaddeus McCotter,15,11,0.7333,1,0.0667
Vernon Ehlers,23,20,0.8696,2,0.087
Sam Graves,352,323,0.9176,5,0.0142
Mike Ross,143,133,0.9301,0,0.0
Brian Baird,2,2,1.0,0,0.0
John Olver,21,14,0.6667,2,0.0952
Edward Kaufman,27,25,0.9259,0,0.0
John Shadegg,30,24,0.8,3,0.1
Charles Rangel,235,178,0.7574,6,0.0255
Chellie Pingree,42,42,1.0,0,0.0
Alan Grayson,16,15,0.9375,1,0.0625
George Holding,39,28,0.7179,0,0.0
David Reichert,73,72,0.9863,0,0.0
Peter King,1,1,1.0,0,0.0
Nan Hayworth,65,57,0.8769,1,0.0154
Carolyn Kilpatrick,4,4,1.0,0,0.0
Harry Teague,60,60,1.0,0,0.0
Deb Fischer,19,9,0.4737,2,0.1053
Trent Franks,5,5,1.0,0,0.0
Todd Rokita,168,143,0.8512,9,0.0536
Peter Visclosky,83,82,0.988,0,0.0
Ron Kind,192,183,0.9531,2,0.0104
Ed Whitfield,125,74,0.592,12,0.096
Thomas Perriello,54,50,0.9259,1,0.0185
Tom Cotton,41,21,0.5122,8,0.1951
Karen Bass,149,113,0.7584,5,0.0336
Mark Amodei,2,2,1.0,0,0.0
Timothy Bishop,101,98,0.9703,0,0.0
Brenda Lawrence,2,2,1.0,0,0.0
Edward Markey,11,8,0.7273,1,0.0909
Yvette Clarke,84,67,0.7976,1,0.0119
Louise Slaughter,133,126,0.9474,1,0.0075
Heidi Heitkamp,20,19,0.95,0,0.0
Gary Ackerman,26,25,0.9615,0,0.0
Carolyn Maloney,38,21,0.5526,3,0.0789
Tom Graves,70,55,0.7857,5,0.0714
Dennis Moore,20,18,0.9,0,0.0
Frank Pallone,19,19,1.0,0,0.0
Joe Garcia,11,11,1.0,0,0.0
Parker Griffith,16,9,0.5625,3,0.1875
John Rockefeller,57,56,0.9825,0,0.0
Michelle Lujan Grisham,27,27,1.0,0,0.0
Rick Berg,3,3,1.0,0,0.0
Thomas Coburn,15,12,0.8,2,0.1333
Mario Diaz-Balart,34,32,0.9412,0,0.0
Ben Quayle,67,44,0.6567,2,0.0299
Zoe Lofgren,24,24,1.0,0,0.0
Lynn Woolsey,6,6,1.0,0,0.0
Zachary Space,49,48,0.9796,0,0.0
Lynn Westmoreland,224,106,0.4732,50,0.2232
Duncan Hunter,63,60,0.9524,0,0.0
Daniel Lungren,93,86,0.9247,1,0.0108
Robert Latta,89,71,0.7978,7,0.0787
