Sender,Total,align_raw,align_pct,bash_raw,bash_pct
Susan Collins,217,211,0.9724,1,0.0046
Candice Miller,621,512,0.8245,33,0.0531
Olympia Snowe,72,61,0.8472,2,0.0278
Kay Hagan,29,27,0.931,1,0.0345
Rick Allen,19,16,0.8421,1,0.0526
Kerry Bentivolio,28,19,0.6786,0,0.0
John Hoeven,1,1,1.0,0,0.0
Vern Buchanan,593,551,0.9292,10,0.0169
Ryan Zinke,6,5,0.8333,0,0.0
Diana DeGette,126,100,0.7937,5,0.0397
Michael Michaud,36,31,0.8611,0,0.0
Laura Richardson,26,23,0.8846,0,0.0
Mark Critz,3,3,1.0,0,0.0
Steve Knight,2,2,1.0,0,0.0
Phil Hare,18,13,0.7222,0,0.0
John Barrow,89,87,0.9775,0,0.0
Bennie Thompson,20,13,0.65,4,0.2
James Oberstar,40,40,1.0,0,0.0
Cynthia Lummis,142,115,0.8099,6,0.0423
Kevin Cramer,48,36,0.75,3,0.0625
Seth Moulton,4,4,1.0,0,0.0
Benjamin Cardin,58,48,0.8276,4,0.069
Harry Mitchell,27,27,1.0,0,0.0
David Cicilline,211,197,0.9336,0,0.0
Ruben Gallego,4,4,1.0,0,0.0
Tom Latham,82,70,0.8537,3,0.0366
Jim Gerlach,129,83,0.6434,15,0.1163
John Boehner,153,90,0.5882,22,0.1438
Ronald Paul,148,134,0.9054,1,0.0068
Eddie Johnson,17,16,0.9412,1,0.0588
Charles Schumer,3,3,1.0,0,0.0
Scott Tipton,135,108,0.8,2,0.0148
Nick Rahall,7,7,1.0,0,0.0
Chip Cravaack,85,71,0.8353,4,0.0471
Mark Pryor,48,44,0.9167,0,0.0
Steve Womack,235,187,0.7957,10,0.0426
Mark Udall,127,115,0.9055,2,0.0157
Bruce Braley,118,113,0.9576,1,0.0085
Paul Kanjorski,20,20,1.0,0,0.0
John Carney,44,40,0.9091,0,0.0
Grace Napolitano,17,17,1.0,0,0.0
Nathan Deal,1,0,0.0,1,1.0
Ryan Costello,34,27,0.7941,0,0.0
Jason Chaffetz,64,45,0.7031,6,0.0938
Sam Johnson,47,40,0.8511,1,0.0213
Robert Portman,42,23,0.5476,5,0.119
Joe Barton,64,62,0.9688,2,0.0313
David Rouzer,12,10,0.8333,0,0.0
Jesse Jackson,19,17,0.8947,0,0.0
Renee Ellmers,198,143,0.7222,17,0.0859
Doug LaMalfa,74,63,0.8514,1,0.0135
Jim Webb,42,41,0.9762,0,0.0
Mike Bishop,12,11,0.9167,0,0.0
Paul Gosar,180,103,0.5722,23,0.1278
Maurice Hinchey,2,2,1.0,0,0.0
Lloyd Doggett,7,5,0.7143,2,0.2857
